node_id,phase,local_transition,field,node_mean,persona_min,persona_max,persona_count
root/enabling/enabling/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,8.72,7.7,10.9,5
root/enabling/enabling/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/enabling/enabling/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,5.76,5.2,7.1,5
root/enabling/enabling/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,40.62,26.8,46.4,5
root/enabling/enabling/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,9.86,8.2,12.6,5
root/enabling/enabling/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,9.84,7.1,12.3,5
root/enabling/enabling/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/enabling/enabling/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,6.64,5.5,8.1,5
root/enabling/enabling/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,31.56,16.5,43.3,5
root/enabling/enabling/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,11.66,8.2,14.2,5
root/enabling/enabling/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,13.08,12.1,13.7,5
root/enabling/enabling/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,17.0,12.0,20.0,5
root/enabling/enabling/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,8.42,7.8,8.9,5
root/enabling/enabling/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,13.200000000000001,8.2,19.6,5
root/enabling/enabling/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,15.16,14.2,15.8,5
root/enabling/baseline/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,9.88,9.0,12.6,5
root/enabling/baseline/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/enabling/baseline/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,6.5,5.8,8.3,5
root/enabling/baseline/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,32.980000000000004,14.4,40.2,5
root/enabling/baseline/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,11.5,10.5,14.5,5
root/enabling/baseline/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,10.32,7.9,12.3,5
root/enabling/baseline/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,24.0,20.0,25.0,5
root/enabling/baseline/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,6.9,5.2,8.4,5
root/enabling/baseline/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,28.88,13.4,46.4,5
root/enabling/baseline/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,11.86,8.2,14.2,5
root/enabling/baseline/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,12.879999999999999,12.6,13.2,5
root/enabling/baseline/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,18.8,18.0,20.0,5
root/enabling/baseline/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,8.26,8.2,8.5,5
root/enabling/baseline/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,14.88,12.4,15.5,5
root/enabling/baseline/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,14.82,14.5,15.2,5
root/enabling/constraining/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,9.58,7.2,12.4,5
root/enabling/constraining/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/enabling/constraining/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,6.38,5.2,8.2,5
root/enabling/constraining/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,34.24,15.5,46.4,5
root/enabling/constraining/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,11.24,8.5,14.5,5
root/enabling/constraining/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,11.52,9.5,12.9,5
root/enabling/constraining/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/enabling/constraining/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,7.38,5.8,8.4,5
root/enabling/constraining/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,23.92,13.4,40.2,5
root/enabling/constraining/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,13.3,11.2,14.8,5
root/enabling/constraining/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,12.700000000000001,12.3,12.9,5
root/enabling/constraining/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,16.4,8.0,20.0,5
root/enabling/constraining/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,8.12,7.8,8.2,5
root/enabling/constraining/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,16.32,15.5,19.6,5
root/enabling/constraining/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,14.64,14.2,14.9,5
root/baseline/enabling/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,7.9,7.0,9.2,5
root/baseline/enabling/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/baseline/enabling/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,5.32,5.2,5.8,5
root/baseline/enabling/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,45.16,40.2,46.4,5
root/baseline/enabling/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,8.66,8.2,10.5,5
root/baseline/enabling/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,8.38,7.1,9.5,5
root/baseline/enabling/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/baseline/enabling/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,5.46,5.2,5.9,5
root/baseline/enabling/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,43.72,39.2,46.4,5
root/baseline/enabling/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,9.48,8.2,11.2,5
root/baseline/enabling/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,12.1,10.8,12.9,5
root/baseline/enabling/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,19.6,18.0,20.0,5
root/baseline/enabling/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,7.92,7.2,8.2,5
root/baseline/enabling/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,18.38,15.5,25.8,5
root/baseline/enabling/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,14.02,12.5,14.8,5
